,delta ,theta ,alpha ,beta ,gamma

Left Ear_Halima_Halima_Chine1
min,0.345781392437693,0.272952881604379,0.275486431964851,0.330617553572301,0.351850773853183
Q1,0.472116887117897,0.557576279059109,0.550062595160127,0.447226016349356,0.48164035864484
Q2,0.501861033963904,0.610578512574751,0.648673188396686,0.511980206297432,0.560524267021154
Q3,0.561003418078699,0.719335268354843,0.744150008596987,0.561888810654614,0.599013938348195
max,0.913073764480417,0.973860022704357,0.981275202722477,0.770493622015454,0.705966590892751
mean,0.529810674872009,0.635772215168652,0.635322906330478,0.511472188156409,0.5437242113763
Std Dev,0.110693800440485,0.132484417528056,0.156030297827419,0.0940467983175209,0.0843895621791507

Left Forehead_Halima_Halima_Chine1
min,0.177299190970381,0.0854192667385873,0.0150366945036768,0.210890275665874,0.259791327657579
Q1,0.342056260283801,0.279876489973418,0.197854507402541,0.379706652925498,0.434724996812232
Q2,0.540995878137762,0.439932026971021,0.272919918750456,0.419846325504477,0.486020339985754
Q3,0.729656447940125,0.625397790193489,0.361528696325386,0.486013693075379,0.531868502976423
max,0.906602292577932,0.911756007292345,0.568520753458051,0.594298150074935,0.76424010383135
mean,0.542875821681571,0.45189174968511,0.270611762344812,0.428364190547141,0.488309500986971
Std Dev,0.218459346778822,0.234514846288149,0.121037312162185,0.0786970355111082,0.102534008411418

Right Forehead_Halima_Halima_Chine1
min,0.12970253267889,0.0536010800238482,0.00841492874831483,0.0538899611805529,0.0983347634738253
Q1,0.272401059732013,0.183696320021749,0.139155523246582,0.21043036513633,0.213945180458287
Q2,0.43390817936046,0.279060692925532,0.169299467662981,0.245648399767108,0.271547391219545
Q3,0.726720126978057,0.633975259752571,0.200645090633886,0.313722852711691,0.330496154588279
max,0.920140241101312,0.937389386770834,0.53293506841078,0.422804789278079,0.444005613010768
mean,0.491458599218409,0.400186025960928,0.189189844673507,0.255392113490141,0.269578252203674
Std Dev,0.244159367508484,0.261964243715811,0.0955760145838614,0.0750355899309728,0.0814459368121163

